id,gender,star_sign,phone_os,height,weight,sleepiness,iq,fb_friends,yt,self_intro
45,1,雙子座,Apple,173.0,74.0,1.0,180.0,,,Hi
46,1,天秤座,Android,167.0,48.0,4.0,51.0,638.0,1,Go big or go home
47,1,牡羊座,Apple,172.0,60.0,2.0,150.0,500.0,20,Cool
48,1,,,,80.0,3.0,120.0,50.0,0,interesting
49,1,天秤座,,172.0,58.0,,200.0,,200,Boring
50,1,雙魚座,Apple,170.0,70.0,1.0,180.0,,13.1,Karma
51,1,水瓶座,Android,,65.0,2.0,,399.0,3.7,handsome
52,1,巨蟹座,Android,172.0,,,,300.0,0.1,Good
53,1,金牛座,Apple,163.0,65.0,2.0,100.0,323.0,2,i‘m lazy.
54,2,摩羯座,Android,,55.0,5.0,180.0,,,Good at listen to other
55,1,雙子座,,170.0,80.0,,50.0,0.0,2.37,crazy
56,1,獅子座,Apple,177.0,55.0,3.0,140.0,814.0,50,Shy and preserved
57,1,摩羯座,Apple,175.0,60.0,4.0,87.0,333.0,9.8,不要
58,1,天蠍座,Android,180.0,65.0,2.0,111.0,456.0,11.45,I am kind
59,2,雙子座,,,64.0,3.0,,,0.2,A girl.
60,1,摩羯座,Android,168.0,57.0,4.0,100.0,223.0,0.082,despair
61,1,雙魚座,Apple,125.0,125.0,3.0,87.0,0.0,0,Ah
62,1,處女座,,,200.0,3.0,87.0,78.0,,I have a pen
63,1,,Android,,60.0,5.0,120.0,100.0,1,Good
64,2,牡羊座,Android,179.0,70.0,3.0,88.0,120.0,0.3,Show me the money!
65,1,雙魚座,Apple,,85.0,4.0,120.0,,,handsome
66,1,雙魚座,Android,183.0,80.0,,,1000.0,20,smart and handson
67,1,天秤座,Apple,172.0,73.0,1.0,200.0,100.0,50,lol
68,2,處女座,Apple,162.0,,3.0,150.0,800.0,,Fintech
69,1,天秤座,Android,178.0,67.0,3.0,125.0,600.0,0.5,Happy
70,1,獅子座,Android,180.0,83.0,3.0,110.0,50.0,1,try everything
71,1,射手座,Android,175.0,70.0,4.0,111.0,1.0,20,"Luke, I am Your Father"
72,2,,,155.0,53.0,,,300.0,,BlingBling
73,1,獅子座,Android,180.0,75.0,2.0,150.0,500.0,5,I'm boring man.
74,1,處女座,Apple,170.0,65.0,4.0,87.0,200.0,10,prefect
75,1,摩羯座,Apple,164.0,71.0,1.0,95.0,150.0,20,I love fishing.
76,1,處女座,Apple,170.0,60.0,4.0,120.0,650.0,5,nice.
77,2,射手座,Apple,160.0,50.0,5.0,88.0,536.0,10,Marginalized
78,2,天秤座,Apple,156.0,48.0,2.0,180.0,100.0,2,Open mind
79,1,獅子座,Android,170.0,74.0,3.0,99.0,99.0,10,busy
80,1,金牛座,Apple,168.0,73.0,2.0,180.0,150.0,8,Young
81,1,雙子座,,172.0,75.0,,111.0,20.0,1,I am a happy man.
82,1,天秤座,Android,170.0,70.0,4.0,188.0,500.0,1000,Simple
83,1,雙魚座,Apple,173.0,70.0,5.0,100.0,200.0,0,IMMGT
84,1,牡羊座,Apple,175.0,82.0,2.0,90.0,300.0,0.2,I'm so cute
85,1,處女座,Apple,173.0,63.0,4.0,160.0,430.0,6,Humorous person
86,1,處女座,Apple,173.0,63.0,,160.0,,6,Humorous person
87,1,天秤座,Apple,182.0,75.0,1.0,,,0,hello world
88,2,,Android,,50.0,,100.0,50.0,3,I am a nervous person.
89,2,,,160.0,,3.0,145.0,,,Old
90,2,雙子座,Android,161.0,80.0,2.0,110.0,150.0,3,Happy
91,1,巨蟹座,Apple,169.0,65.0,4.0,87.0,987.0,887,I am 87
92,1,,Apple,184.0,68.0,4.0,187.0,8787.0,,Fuck you
93,2,雙魚座,Apple,165.0,47.0,3.0,110.0,899.0,2,I am a good people
94,1,牡羊座,Android,162.0,50.0,2.0,140.0,1234.0,0.5,帥
95,1,處女座,Apple,176.0,74.0,5.0,200.0,1300000000.0,2,Cool dude
96,2,巨蟹座,,155.0,,4.0,180.0,300.0,0,Human.
97,1,處女座,Android,123.0,123.0,3.0,123.0,123.0,123,一句話
98,1,水瓶座,Android,178.0,68.0,5.0,120.0,1100.0,0.1,Gentle
99,1,雙魚座,Apple,176.0,64.0,,100.0,120.0,5,I am otaku
100,1,,Apple,,55.0,,,0.0,100,Dank
101,1,,Android,169.87,55.87,1.0,133.0,,,viewer
102,1,射手座,Android,170.0,65.0,2.0,124.0,150.0,1,Brilliant
103,1,天秤座,Apple,174.0,83.0,3.0,148.0,1915.0,20.7,Incredible
104,1,巨蟹座,Android,172.0,68.0,3.0,140.0,530.0,0.2,GGININDER
105,1,射手座,Apple,172.0,66.0,3.0,187.0,888.0,32,Family
106,2,,Apple,,60.0,2.0,135.0,,,Brilliant
107,1,雙魚座,Apple,168.0,,5.0,130.0,400.0,,A man likes to dream.
108,1,摩羯座,Apple,176.0,63.0,2.0,100.0,800.0,1,Cool
109,1,處女座,Apple,178.0,87.0,4.0,180.0,512.0,0.87,"I'm a super cool rapper, yo."
110,1,雙子座,Android,166.0,55.0,4.0,110.0,866.0,2,special
111,1,雙魚座,Apple,176.0,58.0,4.0,88.0,400.0,0.01,Work hard
112,1,牡羊座,Android,173.0,69.0,4.0,120.0,280.0,2,I am geek.
113,1,獅子座,Apple,168.0,70.0,,120.0,400.0,0.3,Show me what you got?
114,1,水瓶座,Android,175.0,61.0,3.0,87.0,1031.0,2,Amazing
115,1,獅子座,Apple,165.0,62.0,3.0,87.0,300.0,0.87,Nihilisim
116,1,獅子座,Apple,165.0,62.0,3.0,87.0,,,Nihilisim
117,1,天秤座,Android,176.0,60.0,3.0,100.0,500.0,0,Very handsome.
118,2,射手座,,,42.0,,,800.0,4.1,Never say never
119,1,水瓶座,Android,170.0,49.0,1.0,122.0,1029.0,9,?
120,1,雙子座,Android,172.0,58.0,3.0,88.0,600.0,0.2,Curious
121,1,獅子座,,182.0,,5.0,145.0,500.0,20,I am intelligent.
122,1,天秤座,,,72.0,5.0,120.0,250.0,0.5,I'm so handsome.
123,2,天秤座,Android,155.0,47.0,3.0,124.0,280.0,0.5,Kind
124,1,處女座,Android,174.0,86.0,5.0,100.0,5.0,0.1,You don't have a beauty without a beat.
125,1,雙子座,Android,160.0,55.0,1.0,100.0,20.0,2,Clever but no perseverance.
126,1,巨蟹座,Apple,165.0,68.0,4.0,,250.0,,Intelligent
127,1,牡羊座,Apple,175.0,7.0,5.0,100.0,1000.0,0.06,I’m handsome
128,1,雙魚座,Android,,62.0,4.0,110.0,262.0,0.12,Patient and careful
129,1,天秤座,Android,,61.0,2.0,87.0,200.0,3.5,Hellow world
130,2,,Android,152.7,40.0,4.0,100.0,877.0,0.65,Trying to live a better life!
131,1,天秤座,Apple,174.0,,,150.0,600.0,2,"Stay hungry, stay foolish"
132,1,水瓶座,Android,1000000000.0,2000000000.0,1.0,122.0,3000000000.0,4000000000,.
133,1,天秤座,Apple,183.9,59.0,3.0,180.0,3.0,333,Six six six
134,1,雙魚座,Apple,1e+111,1e+111,1.0,,1e+255,#NUM!,.
135,1,巨蟹座,Apple,190.0,,1.0,50.0,,5000,God Damon looser
136,1,,Apple,165.0,80.0,2.0,130.0,400.0,0.5,123
137,1,雙魚座,,172.0,66.0,,180.0,100.0,,smart
138,1,摩羯座,Apple,172.0,71.0,3.0,100.0,80.0,3,Hello World
139,1,,Apple,181.0,,5.0,200.0,,50,I don’t know
140,1,雙魚座,Android,173.0,60.0,5.0,130.0,300.0,1,Hungry
141,1,天秤座,Apple,171.0,73.0,2.0,180.0,400.0,2,Handsome
142,1,天蠍座,Android,167.0,63.0,5.0,145.0,1737.0,1,Excellent
143,2,,Apple,155.0,48.0,3.0,,1100.0,5,Hello world
144,1,天秤座,Apple,173.0,73.0,3.0,50.0,5.0,0.5,Oh
145,2,處女座,Apple,160.0,55.0,5.0,146.0,500.0,8.2,"I'm a common girl, just like others."
146,1,天蠍座,Android,168.0,63.0,2.0,80.0,328.0,2,Fat man
147,2,獅子座,Apple,168.0,49.0,1.0,87.0,2000.0,,Hi
148,1,水瓶座,Android,167.0,53.0,4.0,80.0,300.0,5,humorous
149,2,巨蟹座,Android,157.0,70.0,4.0,122.0,350.0,0.79,I don't want to be defined.
150,2,獅子座,Apple,168.0,49.0,1.0,87.0,2000.0,99999,Hi
151,1,摩羯座,Apple,172.0,71.0,3.0,100.0,80.0,3,Hello World
152,1,雙魚座,Apple,,73.0,4.0,101.0,400.0,15,Cool
153,1,水瓶座,Android,173.0,68.0,5.0,200.0,256.0,8,QAQ
154,1,雙魚座,Android,180.0,66.0,4.0,180.0,10.0,1,Smart
155,2,獅子座,Apple,155.0,48.0,4.0,100.0,700.0,5,I am who I am
156,1,巨蟹座,Android,179.0,86.0,4.0,135.0,351.0,0.00015,peace
157,1,,Android,,85.0,4.0,90.0,,,Zzzz
158,1,巨蟹座,Android,180.0,66.0,2.0,180.0,0.0,0,123
159,1,摩羯座,Apple,178.0,63.0,4.0,130.0,200.0,4,Less is more
160,1,雙魚座,Android,180.0,,4.0,,10.0,,Smart
161,2,摩羯座,Android,161.0,50.0,2.0,120.0,150.0,0.5,Beautiful
162,1,,Android,164.0,66.0,,115.0,623.0,1,Always smile
163,1,巨蟹座,,180.0,70.0,,100.0,100.0,100,Hello
164,1,天蠍座,Apple,200.0,100.0,1.0,200.0,10000.0,64,GOAT
165,2,,Android,154.0,46.0,5.0,,,0.01,Optimistic
166,1,天蠍座,Apple,175.0,66.0,3.0,110.0,560.0,1,Good
167,1,巨蟹座,Android,,,,150.0,1212.0,1,XD
168,1,獅子座,Apple,170.0,63.0,2.0,144.0,629.0,1.4,a genius of computer science
169,1,天秤座,Android,174.0,67.0,3.0,97.0,30.0,1,宅
170,1,摩羯座,,,47.0,,,87.0,,Sleep
171,1,雙子座,Android,,,,,599.0,,OAO
172,2,摩羯座,,,54.0,,,265.0,1,Nice
173,1,巨蟹座,Android,170.0,55.0,3.0,51.0,0.0,6.77,hopeless
174,1,天秤座,Android,173.0,58.0,5.0,130.0,200.0,38,Good Morning
175,1,天秤座,,173.0,58.0,5.0,,200.0,38,Good Morning
176,1,天蠍座,Android,171.0,44.0,4.0,100.0,300.0,2.41,I'm nice
177,1,雙魚座,Android,172.0,53.0,3.0,100.0,100.0,5,handsome
178,2,水瓶座,Apple,163.0,55.0,3.0,110.0,300.0,0,misaka mikoto
179,1,雙魚座,Apple,179.0,,4.0,101.0,400.0,15,Cool
180,1,雙魚座,Android,180.0,80.0,4.0,101.0,803.0,0,Lazy
181,2,水瓶座,Android,156.0,58.0,3.0,180.0,834.0,0.003,I don't know.
182,1,獅子座,Android,176.0,65.0,5.0,180.0,400.0,0.5,The color of Happy is orange
183,2,水瓶座,Apple,151.0,53.0,5.0,100.0,200.0,1,I’m happy.
184,1,天秤座,Android,170.0,,,120.0,413.0,19.59,Handsome
185,2,獅子座,Android,158.0,49.0,5.0,130.0,403.0,0,introvert
186,1,獅子座,Apple,,,5.0,,,,Happy
187,1,天秤座,Android,167.0,67.0,,130.0,300.0,3,Awesome
188,1,天秤座,,167.0,67.0,2.0,130.0,300.0,3,Awesome
189,1,摩羯座,,,,5.0,132.0,250.0,,I'm a positive person.
190,1,摩羯座,Android,181.0,,4.0,128.0,,1.2,Takami Chika <3
191,1,巨蟹座,Apple,190.0,,1.0,50.0,2.0,5000,God Damon looser
192,1,獅子座,Apple,165.0,80.0,2.0,,400.0,0.5,123
193,1,雙魚座,Android,172.0,66.0,5.0,180.0,100.0,5,smart
194,1,摩羯座,Apple,172.0,71.0,3.0,100.0,80.0,3,Hello World
195,1,雙魚座,Apple,181.0,70.0,5.0,200.0,100.0,50,I don’t know
196,1,雙魚座,Android,173.0,60.0,5.0,130.0,300.0,1,Hungry
197,1,天秤座,Apple,171.0,73.0,2.0,180.0,400.0,2,Handsome
198,1,天蠍座,,167.0,63.0,,145.0,1737.0,1,Excellent
199,2,雙子座,Apple,155.0,48.0,3.0,133.0,1100.0,5,Hello world
200,1,天秤座,Apple,173.0,73.0,3.0,50.0,5.0,0.5,Oh
201,2,處女座,Apple,160.0,55.0,5.0,,,8.2,"I'm a common girl, just like others."
202,1,,Android,168.0,,,,328.0,2,Fat man
203,2,獅子座,Apple,168.0,49.0,1.0,87.0,2000.0,99999,Hi
204,1,水瓶座,Android,167.0,53.0,4.0,80.0,300.0,5,humorous
205,2,巨蟹座,Android,157.0,70.0,4.0,122.0,350.0,0.79,I don't want to be defined.
206,2,獅子座,Apple,168.0,49.0,1.0,,2000.0,,Hi
207,1,摩羯座,,172.0,,,100.0,80.0,3,Hello World
208,1,,,179.0,73.0,4.0,101.0,,15,Cool
209,1,水瓶座,Android,173.0,68.0,5.0,200.0,256.0,8,QAQ
210,1,雙魚座,Android,180.0,66.0,4.0,180.0,10.0,1,Smart
211,2,獅子座,Apple,155.0,48.0,4.0,100.0,700.0,5,I am who I am
212,1,巨蟹座,Android,179.0,86.0,4.0,135.0,351.0,0.00015,peace
213,1,雙魚座,Android,185.0,85.0,4.0,90.0,100.0,10,Zzzz
214,1,巨蟹座,Android,,66.0,,180.0,0.0,0,123
215,1,摩羯座,Apple,,63.0,4.0,,200.0,4,Less is more
216,1,,Android,180.0,66.0,,180.0,10.0,,Smart
217,2,摩羯座,,,50.0,2.0,,,0.5,Beautiful
218,1,,Android,164.0,66.0,2.0,115.0,,1,Always smile
219,1,巨蟹座,Apple,180.0,70.0,4.0,100.0,100.0,100,Hello
220,1,天蠍座,,200.0,100.0,,200.0,,64,GOAT
221,2,雙子座,Android,154.0,46.0,5.0,120.0,70.0,0.01,Optimistic
222,1,天蠍座,Apple,175.0,66.0,,110.0,560.0,1,Good
223,1,巨蟹座,Android,172.0,70.0,3.0,150.0,1212.0,1,XD
224,1,獅子座,Apple,170.0,63.0,2.0,144.0,629.0,1.4,a genius of computer science
225,1,天秤座,Android,174.0,67.0,,97.0,30.0,1,宅
226,1,摩羯座,Android,167.0,47.0,2.0,87.0,87.0,0,Sleep
227,1,雙子座,Android,165.0,57.0,5.0,180.0,599.0,0.3,OAO
228,2,摩羯座,Apple,162.0,54.0,4.0,110.0,265.0,1,Nice
229,1,巨蟹座,Android,170.0,55.0,3.0,51.0,0.0,6.77,hopeless
230,1,天秤座,Android,173.0,58.0,5.0,130.0,200.0,38,Good Morning
231,1,,Android,173.0,58.0,5.0,130.0,200.0,38,Good Morning
232,1,天蠍座,Android,171.0,44.0,4.0,100.0,300.0,2.41,I'm nice
233,1,雙魚座,,172.0,53.0,,100.0,100.0,5,handsome
234,2,水瓶座,Apple,,55.0,,110.0,,0,misaka mikoto
235,1,,Apple,,73.0,4.0,,400.0,15,Cool
236,1,雙魚座,Android,180.0,,,101.0,803.0,0,Lazy
237,2,水瓶座,Android,156.0,58.0,3.0,180.0,834.0,0.003,I don't know.
238,1,獅子座,Android,176.0,65.0,5.0,180.0,400.0,0.5,The color of Happy is orange
239,2,水瓶座,Apple,151.0,53.0,5.0,100.0,200.0,1,I’m happy.
240,1,天秤座,Android,170.0,80.0,2.0,120.0,413.0,19.59,Handsome
241,2,獅子座,Android,158.0,,,130.0,403.0,0,introvert
242,1,獅子座,Apple,,55.0,,,,1.1,Happy
243,1,,Android,,67.0,2.0,130.0,300.0,,Awesome
244,1,天秤座,Android,167.0,67.0,2.0,,,3,Awesome
245,1,摩羯座,Android,180.0,76.0,5.0,132.0,250.0,5,I'm a positive person.
246,1,摩羯座,,181.0,72.0,4.0,128.0,157.0,1.2,Takami Chika <3
247,1,水瓶座,Android,170.0,63.0,5.0,140.0,312.0,3,Cooool
248,1,雙魚座,Android,176.0,82.0,1.0,180.0,1.0,100,Nerd
249,1,雙子座,Android,178.0,90.0,5.0,100.0,666.0,0.1,happy gay
250,1,巨蟹座,Android,175.0,75.0,1.0,130.0,495.0,0.8,fuck
251,1,雙魚座,Android,,,3.0,131.0,1234.0,,amazing
252,1,金牛座,Android,,56.0,,,300.0,0.2,who am i
253,1,巨蟹座,,30.0,87.0,5.0,200.0,1.0,0,Shit
254,2,天秤座,Android,15.0,500.0,,50.0,,0.001,unique and fat
255,1,天蠍座,,,100.0,3.0,,,1,Stupid
256,1,,,171.0,73.0,,,200.0,500,Amazing
257,1,水瓶座,Android,,66.0,3.0,94.87,,15.6,I am so beautiful
258,1,獅子座,Android,166.0,67.0,2.0,87.0,200.0,0.5,Hi
259,1,牡羊座,Apple,171.0,,,180.0,480.0,,I am a student.
260,1,處女座,Android,,78.0,2.0,100.0,3.0,60,Dope
261,1,,,,80.0,,100.0,,20,Good
262,1,獅子座,Android,171.0,56.0,3.0,100.0,200.0,2,Tired.
263,2,天蠍座,Apple,147.0,40.0,,168.0,1033.0,520,nice peng peng
264,1,牡羊座,,,87.0,3.0,,,,nine four eight seven
265,1,水瓶座,Apple,,180.0,2.0,173.0,10000.0,88,Wise
266,1,金牛座,Android,12.0,12.0,2.0,87.0,12.0,12,Re
267,2,獅子座,Apple,165.0,165.0,5.0,155.0,165.0,165,May God blessing you
268,2,雙子座,Android,167.0,,,,1024.0,1.4,Lazy
269,1,金牛座,Apple,176.0,76.0,4.0,100.0,10.0,10,Nice!
270,1,摩羯座,,180.0,100.0,5.0,120.0,,0,A man with wisdom.
271,1,,,-187.0,,1.0,,8787.0,0,Useless
272,1,雙子座,Apple,168.0,62.0,2.0,120.0,900.0,0.3,Superior
273,1,巨蟹座,Apple,163.0,51.0,2.0,126.0,1200.0,3,I am a nerd
274,1,雙子座,Android,,68.0,,,250.0,1,I love Metallica!
275,1,巨蟹座,Apple,163.0,51.0,2.0,126.0,1200.0,3,I am a nerd
276,1,水瓶座,,160.0,,2.0,87.0,500.0,0.5,Quite
277,1,,Android,,76.0,1.0,185.0,400.0,,I have to leave on 7:40
278,2,金牛座,,,,3.0,,0.0,10,I am a fat guy
279,2,天蠍座,Apple,170.0,60.0,4.0,87.0,87.0,87,Normal
280,1,,Apple,177.0,,1.0,,600.0,20,I’m handsome
281,1,水瓶座,Apple,174.0,80.0,4.0,130.0,255.0,0.3,Creative
282,1,水瓶座,Apple,174.0,80.0,4.0,130.0,255.0,0.3,Creative
283,1,雙子座,,176.0,,,180.0,500.0,1,Specialist
284,1,摩羯座,Android,173.0,72.0,5.0,140.0,1300.0,5,Jesus
285,2,,Android,155.0,46.0,2.0,87.0,,,Brilliant
286,1,天蠍座,Apple,170.0,63.0,2.0,130.0,500.0,6,QQ
287,2,,Android,,,4.0,,,3,Red
288,1,射手座,Apple,,60.0,5.0,199.0,,999,Handsome
289,1,天蠍座,Android,184.0,,5.0,183.0,700.0,,Googler
290,1,水瓶座,Apple,175.0,70.0,4.0,50.0,,,I’m sorry
291,1,雙魚座,Android,170.0,61.0,3.0,88.0,500.0,2,Shiny guy
292,1,牡羊座,Android,-1000.0,-1000.0,1.0,200.0,-1000.0,-1000,哈哈哈笑你～～～
293,1,水瓶座,Apple,180.0,62.0,2.0,100.0,,0,I’m a smart person.
294,1,射手座,Apple,,,4.0,,1287.0,,I’m an honest man
295,1,,,,,2.0,140.0,,4,Hello world
296,1,牡羊座,Apple,150.0,40.0,3.0,,1500.0,,Sexy AF
297,1,巨蟹座,Apple,172.0,72.0,3.0,100.0,122.0,1,Not smart
298,2,獅子座,Android,213.0,79.0,1.0,50.0,1111.0,999,I'm outlier
299,2,巨蟹座,Android,168.0,58.0,3.0,87.0,255.0,1,I'm not sleepy.
300,1,金牛座,Apple,177.0,58.0,2.0,150.0,2355.0,100,gorgeous
301,1,天蠍座,,170.0,68.0,5.0,,1300.0,5,Supercold
302,2,獅子座,Apple,150.0,44.0,,160.0,,125,Cool
303,2,雙子座,Android,180.0,78.0,1.0,200.0,9999999.0,999,Haha
304,2,,Android,,78.0,,200.0,,999,Haha
305,2,牡羊座,Android,161.0,53.0,4.0,200.0,200.0,1,I'm not eighty seven.
306,1,天秤座,Android,,58.0,,50.0,666.0,0,Handsome
307,1,水瓶座,Android,187.0,187.0,,187.0,870.0,8.7,878787
308,2,雙魚座,JohnCena,900.0,10.0,5.0,199.0,10.0,1,good
309,1,巨蟹座,Apple,177.0,68.0,,100.0,355.0,8,Handsome
310,1,處女座,Android,,60.0,1.0,,0.0,7,I don't know and I don't care.
311,1,雙子座,Apple,180.0,110.0,3.0,140.0,250.0,0.5,Stay hungry stay foolish
312,1,雙魚座,Android,175.0,80.0,5.0,151.0,1234.0,5.87,I have superpower!
313,1,雙子座,Apple,178.0,82.0,5.0,123.0,513.0,0.5,Cool
314,1,獅子座,Apple,,,3.0,110.0,1459.0,3,I’m a good man
315,1,雙子座,Android,180.0,68.0,4.0,125.0,400.0,3,Often enjoy daily life.
316,1,天秤座,Android,180.0,80.0,3.0,,700.0,10,Good
317,1,雙子座,Android,178.0,83.0,4.0,50.0,0.0,9999,GGGGGGG
318,1,,Android,,82.0,4.0,140.0,,12.49,I'm a Jedi
319,1,水瓶座,Apple,181.0,65.0,4.0,120.0,800.0,2,I am handsome
320,1,水瓶座,,175.0,70.0,,,,,I’m a sexy guy.
321,1,雙子座,Apple,172.0,85.0,5.0,120.0,800.0,100,a normal man
322,2,處女座,Apple,,55.0,,,500.0,0.5,YOLO
323,1,水瓶座,Apple,176.0,90.0,4.0,120.0,30.0,2,Good
324,1,金牛座,,,63.0,5.0,180.0,123.0,2.4,I am who am I
325,1,處女座,Apple,174.0,70.0,4.0,120.0,0.0,1,Nice person
326,2,水瓶座,Apple,155.0,,,180.0,800.0,,Intelligence
327,1,,Apple,177.0,55.0,,120.0,,,I am fine
328,1,金牛座,Apple,173.0,62.0,2.0,100.0,464.0,16.2,Handsome
329,1,射手座,,174.0,61.0,2.0,,603.0,87,A handsome boy
330,1,摩羯座,Android,172.0,56.0,2.0,188.0,,88888,handsome
331,2,天秤座,Apple,,,,168.0,,2,Excellent
332,1,射手座,Apple,173.0,71.0,2.0,135.0,10000.0,16,Good
333,1,水瓶座,,,79.0,5.0,140.0,,19,I'm a foolish.
334,1,天蠍座,Apple,178.0,63.0,3.0,141.0,1000.0,4,Cool
335,1,牡羊座,Android,170.0,67.0,2.0,120.0,300.0,0.2,handsome zhou
336,1,水瓶座,Android,163.0,78.0,2.0,125.0,89.0,1,Samrt
337,1,金牛座,Android,178.0,85.0,5.0,87.0,700.0,0.5,I'm handsome
338,1,天蠍座,,,58.0,3.0,130.0,,15,Handsome
339,1,獅子座,Android,,80.0,3.0,105.0,200.0,,humble
340,1,水瓶座,Apple,185.0,70.0,3.0,88.0,100.0,,A student
341,1,金牛座,Apple,175.0,80.0,3.0,175.0,500.0,3,I am good boy
342,1,水瓶座,Android,170.0,55.0,4.0,180.0,0.0,100,smart and weird
343,1,天蠍座,Apple,170.0,75.0,4.0,100.0,700.0,1,Genius
344,1,雙子座,,170.0,62.0,5.0,,1300.0,,Quietly brilliant
345,1,獅子座,,172.0,72.0,3.0,120.0,,,Good
346,1,,,175.0,90.0,,140.0,1060.0,,Ordinary human.
347,1,雙魚座,Android,179.0,79.0,,100.0,,,Intelligent
348,1,處女座,Android,178.0,67.0,4.0,90.0,700.0,15,Happy
349,1,,Apple,179.0,63.0,4.0,,150.0,3,I’m happy.
350,1,牡羊座,Android,171.0,60.0,2.0,56.0,574.0,1.5,好
351,2,雙子座,Apple,155.0,53.0,2.0,100.0,150.0,2,I'm a nice person.
352,1,巨蟹座,Apple,178.0,65.0,5.0,103.0,,30,One is never too old to learn
353,1,巨蟹座,,176.0,57.0,5.0,80.0,329.0,,good
354,1,天秤座,Android,182.0,70.0,5.0,100.0,1362.0,10,Tall
355,2,處女座,Apple,,54.0,5.0,,900.0,0.000214,I am happy and pretty girl.
356,1,巨蟹座,,173.6,,5.0,180.0,914.0,,Intelligent!
357,1,天蠍座,Android,175.0,74.0,3.0,199.0,0.0,2048,BigHotGG
358,2,,Apple,,55.0,,120.0,600.0,1,A commen person.
359,1,天秤座,,168.0,85.0,5.0,150.0,350.0,,I'm a nice people.
360,1,巨蟹座,Android,177.0,,,111.0,100.0,1,Deep
361,1,射手座,Android,176.0,,5.0,120.0,,2,Tired
362,1,獅子座,Apple,177.0,72.0,4.0,100.0,527.0,1,nice
363,2,,Apple,156.0,56.0,2.0,156.0,,0,my name is Ellen.
364,2,,Android,162.0,50.0,4.0,120.0,800.0,,I wish I could be smarter.
365,1,處女座,Android,167.0,57.0,3.0,105.0,250.0,1.5,I'm adaptive and hardworking.
